"filename", "language", "JSON", "C++", "YAML", "Markdown", "XML", "Swift", "Dart", "HTML", "CMake", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 5, 12, 68
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 5, 31
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 6, 30
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Activity.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Attachment.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Call.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Dots.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Email.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Location.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Quote.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Search.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\User.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
